feature,importance
load_pct,39.40903803808134
minute,10.70816519133447
hour,7.7445028995451946
load_pct_diff,5.646193133963659
oil_pressure_bar,4.49693829970984
load_pct_rolling3,4.200296988595711
coolant_temp_c_diff,2.556567636609715
current,2.4273643600964596
battery_voltage,2.4059195047727453
load_pct_lag1,1.5472770152727255
generator_id,1.3639994446433263
capacity_kva,1.323290339349668
rpm_rolling3,1.1092471076620471
fuel_rate_lph_lag1,1.072461271013381
status,0.9488770842175429
load_kw_lag1,0.8555624376948455
voltage,0.8362660046996009
ambient_temp_c,0.8147822254100969
load_kw,0.655798006745709
frequency,0.5983590445056085
fuel_rate_lph,0.573317650257537
rpm,0.5393131931675795
load_pct_lag3,0.4790817229608474
fuel_rate_lph_lag2,0.4757034771641324
cooling_margin,0.465256555056676
frequency_lag1,0.4054636829600096
coolant_temp_c_rolling3,0.4040381371527187
running_hours,0.3819831777992566
status_code,0.3514964438686173
battery_voltage_lag1,0.3190171799972279
load_pct_lag2,0.2939544685274021
rpm_diff,0.2729751750943871
oil_pressure_bar_lag2,0.23166072762864764
current_lag3,0.22343327758124965
oil_pressure_bar_lag3,0.22207017132995996
site_name,0.22206924776742834
rpm_lag1,0.21158556119389033
rpm_lag2,0.20967963939470255
fuel_level_l_diff,0.20751543942939782
rpm_lag3,0.2035823989962195
frequency_lag3,0.19442820488323193
load_kw_lag3,0.1781441159047663
fuel_percentage,0.175846357234983
coolant_temp_c,0.17487445842356247
coolant_temp_c_lag1,0.16719803193035995
current_lag1,0.15872374613642018
oil_pressure_bar_lag1,0.14996435211783815
coolant_temp_c_lag3,0.13147902124703797
fuel_rate_lph_lag3,0.12711399564017287
battery_voltage_lag2,0.11379348279711429
power_factor,0.11056239583290034
day,0.1043249847317881
frequency_lag2,0.10168213700958491
fuel_level_l_lag3,0.10155148883946537
battery_voltage_lag3,0.10112947150326652
load_kw_lag2,0.09015755740540689
coolant_temp_c_lag2,0.08378507096240459
current_lag2,0.07989973582792614
fuel_level_l,0.051257937216602684
weekday,0.04912556016776519
fuel_level_l_lag1,0.037185317100043906
fuel_level_l_lag2,0.03460986808589177
fuel_level_l_rolling3,0.03252736206987786
month,0.024173104656657105
is_weekend,0.012358881023355242
