feature,importance
voltage,26.458722896012056
rpm,23.930034458775573
battery_voltage,8.291970207532927
oil_pressure_bar,7.876650089646486
minute,7.761250628411006
hour,6.101823716330142
fuel_rate_lph,5.478838986935315
generator_id,1.5417049622617893
status_code,1.4929409182713353
capacity_kva,1.011068431699972
frequency,0.8185209774844254
cooling_margin,0.6625568288545546
load_kw,0.6115661399624718
fuel_rate_lph_lag1,0.5572489137970348
coolant_temp_c_diff,0.5313431354220843
ambient_temp_c,0.48199035081936087
coolant_temp_c_lag2,0.40501654462540115
running_hours,0.3967194468948817
site_name,0.3923092949295558
load_pct,0.3812244802087251
current_lag3,0.34516981206036623
is_weekend,0.3344927038672273
oil_pressure_bar_lag1,0.31725547342911686
fuel_rate_lph_lag2,0.3049349522293538
oil_pressure_bar_lag2,0.28281149600169264
power_factor,0.23978402909280158
load_pct_rolling3,0.23505357972933752
coolant_temp_c_rolling3,0.2282117901592194
coolant_temp_c,0.2261360873016421
coolant_temp_c_lag1,0.2072877993452466
weekday,0.1685151922892905
load_kw_lag3,0.1672260680653003
current_lag1,0.14636178524388735
oil_pressure_bar_lag3,0.13795093273335812
fuel_rate_lph_lag3,0.1350536090023812
load_kw_lag2,0.13496242064878342
current,0.13395225439371186
load_pct_diff,0.1271609246353892
coolant_temp_c_lag3,0.10587083503774466
load_pct_lag1,0.10482600372600587
current_lag2,0.08960803215610114
load_kw_lag1,0.0810390084155285
load_pct_lag2,0.07117619048833386
frequency_lag3,0.0663733054940229
status,0.06524962515275043
load_pct_lag3,0.05596542003392135
battery_voltage_lag2,0.035603099918667315
fuel_level_l_lag1,0.03415912061376465
battery_voltage_lag3,0.03410024706424145
frequency_lag1,0.0300674634062931
fuel_percentage,0.026756118847365538
fuel_level_l,0.024793605405050035
fuel_level_l_diff,0.022555645581001746
rpm_lag2,0.01794419172558157
rpm_diff,0.014970230388557491
fuel_level_l_lag3,0.0109168299959866
month,0.010595393421973034
rpm_lag1,0.00794652239512392
fuel_level_l_lag2,0.006241178180872353
rpm_lag3,0.006016650917557654
battery_voltage_lag1,0.005189988382130943
fuel_level_l_rolling3,0.004633494387733001
day,0.004581841396433566
rpm_rolling3,0.004373736670488052
frequency_lag2,0.002623901693561603
