feature,importance
voltage,32.57995993764061
rpm,24.44084569507031
oil_pressure_bar,7.818556103109623
minute,7.458245399765702
battery_voltage,6.488787581174247
hour,5.71920067469579
fuel_rate_lph,5.2715068149723505
status_code,1.523908232284493
capacity_kva,1.4803043467368098
generator_id,1.3053471245776735
cooling_margin,0.8274431996743946
running_hours,0.685359438847276
frequency,0.5923367629667319
ambient_temp_c,0.4423527352214436
is_weekend,0.38677003725326087
current,0.30656666355493534
load_pct,0.2974941841817376
fuel_rate_lph_lag2,0.29281028376825763
weekday,0.2370538900318007
fuel_rate_lph_lag1,0.22686120792105127
load_kw,0.20529421986602153
fuel_rate_lph_lag3,0.16223638978412083
coolant_temp_c_diff,0.1580942440864987
fuel_percentage,0.1179395090289523
coolant_temp_c_rolling3,0.08659559127681883
load_pct_lag2,0.08628705164861834
current_lag3,0.07654148028915664
coolant_temp_c,0.06084065322769245
load_pct_lag3,0.05624853178352429
oil_pressure_bar_lag1,0.05041341534897218
current_lag2,0.04500854910451034
coolant_temp_c_lag3,0.04116560920830723
coolant_temp_c_lag1,0.03717522941299154
day,0.036301086889853014
oil_pressure_bar_lag2,0.03343679272842866
rpm_rolling3,0.03200828219054865
coolant_temp_c_lag2,0.030980500908715847
battery_voltage_lag2,0.027377405654167113
current_lag1,0.025603364953624648
oil_pressure_bar_lag3,0.024731913742768025
load_kw_lag1,0.022498221063775126
load_kw_lag2,0.020685232961886443
load_kw_lag3,0.01918421215635764
battery_voltage_lag1,0.01816104974378308
fuel_level_l_lag1,0.014854434874117715
load_pct_lag1,0.014610836550672456
fuel_level_l_rolling3,0.012417192482339256
battery_voltage_lag3,0.011581496444334392
power_factor,0.011567133827246721
fuel_level_l_lag3,0.01150943201386926
month,0.008728669800890678
frequency_lag3,0.00777617737650502
frequency_lag1,0.007527573799022907
fuel_level_l_diff,0.00705928012649258
fuel_level_l,0.006534740217274986
rpm_lag2,0.006040402063312115
load_pct_rolling3,0.00508505217884401
load_pct_diff,0.00434894511863155
fuel_level_l_lag2,0.00405178027155125
rpm_diff,0.003841515994358202
frequency_lag2,0.0022042141607315274
rpm_lag3,0.0015752340546832996
rpm_lag1,0.001344817125587684
site_name,0.0005465724065592792
status,0.00027564860440277466
