iter	RMSE
210	5.069669214
211	5.032492995
212	5.020750263
213	5.019221467
214	5.011417984
215	5.004778974
216	4.998153574
217	4.966586066
218	4.963088649
219	4.943470485
220	4.911085698
221	4.881712667
222	4.875851123
223	4.86680249
224	4.856864341
225	4.849124023
226	4.840896736
227	4.814873494
228	4.804757903
229	4.795642043
230	4.787808572
231	4.779247738
232	4.774634479
233	4.762398865
234	4.754050595
235	4.745610437
236	4.740035457
237	4.736310357
238	4.727641072
239	4.72509723
240	4.716223769
241	4.712370812
242	4.70513304
243	4.699710569
244	4.69352995
245	4.683158662
246	4.67944896
247	4.671236075
248	4.663944863
249	4.656172208
250	4.649226934
251	4.61566321
252	4.591146817
253	4.584671211
254	4.575642525
255	4.570738113
256	4.565069823
257	4.558458109
258	4.536345231
259	4.522643967
260	4.516234034
261	4.509381014
262	4.505789025
263	4.500913191
264	4.493978661
265	4.456038887
266	4.447896576
267	4.428701807
268	4.425011805
269	4.419360262
270	4.39348975
271	4.383511271
272	4.377109194
273	4.368309448
274	4.366355086
275	4.362861479
276	4.357982592
277	4.352751799
278	4.321384434
279	4.314297576
280	4.307541709
281	4.299392886
282	4.294024458
283	4.287732553
284	4.272414206
285	4.266929924
286	4.260606096
287	4.256330994
288	4.246669339
289	4.240782651
290	4.232970283
291	4.227929676
292	4.224254483
293	4.218978093
294	4.203754169
295	4.200478415
296	4.186529965
297	4.181387612
298	4.174202033
299	4.160435799
300	4.157578966
301	4.152645232
302	4.145346922
303	4.126197015
304	4.105863194
305	4.095768278
306	4.090196719
307	4.087157474
308	4.082843041
309	4.0749806
310	4.050989355
311	4.046411351
312	4.041428272
313	4.033872598
314	4.026809148
315	4.021870189
316	4.011043064
317	3.998739994
318	3.993307115
319	3.98862026
320	3.984253882
321	3.978547655
322	3.974641579
323	3.97178711
324	3.964646234
325	3.958072655
326	3.952416554
327	3.947302837
328	3.94218841
329	3.935966869
330	3.929778516
331	3.928162852
332	3.923873699
333	3.920181341
334	3.912913265
335	3.907927222
336	3.902251036
337	3.897657376
338	3.89212373
339	3.888197017
340	3.882205426
341	3.875299173
342	3.870439717
343	3.863565298
344	3.851212013
345	3.845143751
346	3.840436854
347	3.820192783
348	3.807290043
349	3.802367864
350	3.796412449
351	3.791497959
352	3.787387333
353	3.782113601
354	3.773864642
355	3.769990707
356	3.76567789
357	3.759922725
358	3.754668262
359	3.751098812
360	3.745399389
361	3.742605519
362	3.738226625
363	3.729246121
364	3.72838172
365	3.723623826
366	3.718907435
367	3.715364648
368	3.710912544
369	3.695531997
370	3.692260915
371	3.686981297
372	3.680366127
373	3.675308336
374	3.670184327
375	3.66387439
376	3.661489444
377	3.656668079
378	3.648619635
379	3.645691342
380	3.643205113
381	3.638939111
382	3.635178009
383	3.631660419
384	3.630508182
385	3.625890374
386	3.622060358
387	3.619701904
388	3.607994292
389	3.60720381
390	3.603032523
391	3.599517469
392	3.594062245
393	3.589847158
394	3.585228075
395	3.581739111
396	3.578477487
397	3.57579509
398	3.571578365
399	3.56701012
400	3.562407679
401	3.559053687
402	3.555063148
403	3.553055458
404	3.549425333
405	3.546060185
406	3.541732859
407	3.538818332
408	3.534627575
409	3.526400791
410	3.51731735
411	3.514093038
412	3.511156646
413	3.50916407
414	3.505660584
415	3.497310012
416	3.493104585
417	3.490153846
418	3.486069251
419	3.483091322
420	3.476772374
421	3.472969273
422	3.469492477
423	3.464867015
424	3.460960685
425	3.456145899
426	3.454089484
427	3.451354117
428	3.446837181
429	3.444482421
430	3.443204548
431	3.439986948
432	3.436088069
433	3.431436737
434	3.428070669
435	3.423164321
436	3.419379241
437	3.419066114
438	3.408958943
439	3.405475483
440	3.402564785
441	3.396006507
442	3.390829262
443	3.389062973
444	3.385771499
445	3.367560535
446	3.364025345
447	3.359732023
448	3.356278682
449	3.353362962
450	3.352498586
451	3.346947852
452	3.342842978
453	3.342008779
454	3.337935141
455	3.333505069
456	3.331891747
457	3.32993826
458	3.327574048
459	3.310269318
460	3.310014279
461	3.305498023
462	3.301649426
463	3.298844859
464	3.296760467
465	3.295983252
466	3.292750895
467	3.290182453
468	3.286639569
469	3.283884533
470	3.281745251
471	3.279362212
472	3.272453831
473	3.258385174
474	3.254544453
475	3.250582153
476	3.247279812
477	3.245189533
478	3.241463534
479	3.237288032
480	3.227811554
481	3.224424285
482	3.222060146
483	3.219694605
484	3.215883015
485	3.21259662
486	3.209406852
487	3.207942692
488	3.205633963
489	3.205022196
490	3.198214203
491	3.195560808
492	3.193615454
493	3.190609929
494	3.187158698
495	3.181892459
496	3.179243596
497	3.177211148
498	3.174519669
499	3.170978885
500	3.169811297
501	3.16750083
502	3.165316105
503	3.160628118
504	3.158153939
505	3.156165895
506	3.154018014
507	3.150989081
508	3.147541763
509	3.144617996
510	3.141917406
511	3.140831746
512	3.140248698
513	3.137646531
514	3.135759386
515	3.131844012
516	3.128716497
517	3.12232735
518	3.119512737
519	3.115337261
520	3.112024121
521	3.099521639
522	3.097456907
523	3.094408367
524	3.091391503
525	3.08541701
526	3.078191233
527	3.076234881
528	3.070616455
529	3.067600934
530	3.06506626
531	3.063478746
532	3.061771659
533	3.058738502
534	3.056308711
535	3.053159148
536	3.049315951
537	3.046813968
538	3.044577991
539	3.042121144
540	3.03974172
541	3.038309965
542	3.034303167
543	3.032027483
544	3.029971616
545	3.024072908
546	3.021939206
547	3.020332623
548	3.017452466
549	3.01523797
550	3.013919326
551	3.011584513
552	3.008898758
553	3.005367701
554	3.003883451
555	3.002465755
556	3.000305354
557	2.997107023
558	2.996586232
559	2.99302336
560	2.989978506
561	2.988461144
562	2.978625475
563	2.976735481
564	2.975383601
565	2.973089004
566	2.972433121
567	2.967287938
568	2.964199345
569	2.962081862
570	2.96028514
571	2.958500872
572	2.956936965
573	2.954676192
574	2.953330229
575	2.95147984
576	2.947570939
577	2.946060629
578	2.944666674
579	2.935474641
580	2.930679921
581	2.928676853
582	2.924717037
583	2.921147898
584	2.919038693
585	2.916968882
586	2.906367531
587	2.902904028
588	2.902348764
589	2.900452045
590	2.890669181
591	2.88834876
592	2.886986533
593	2.878509714
594	2.874680735
595	2.87294364
596	2.870206624
597	2.867598401
598	2.864492912
599	2.862101361
600	2.860793503
601	2.858147309
602	2.854996787
603	2.852637536
604	2.84996112
605	2.847608517
606	2.845121222
607	2.843389137
608	2.841778449
609	2.837035363
610	2.833165812
611	2.830008788
612	2.828390789
613	2.826222919
614	2.824006761
615	2.821808744
616	2.819387831
617	2.81719759
618	2.815234656
619	2.814722914
620	2.813162493
621	2.811955426
622	2.810361329
623	2.807771692
624	2.805386629
625	2.801619475
626	2.799492988
627	2.798056488
628	2.796288533
629	2.795413321
630	2.793354568
631	2.792259437
632	2.789845306
633	2.788058999
634	2.78576372
635	2.782917035
636	2.782342906
637	2.778817007
638	2.777460906
639	2.775757889
640	2.773755285
641	2.771937705
642	2.769445963
643	2.765778447
644	2.764000321
645	2.761569554
646	2.752135429
647	2.749612069
648	2.747351674
649	2.744753194
650	2.74233833
651	2.739363151
652	2.737340325
653	2.735093011
654	2.73382515
655	2.732145728
656	2.724169217
657	2.721850036
658	2.721310946
659	2.719381146
660	2.717909421
661	2.717453312
662	2.716528597
663	2.714851815
664	2.713391765
665	2.711799033
666	2.710540018
667	2.709026452
668	2.707201685
669	2.706067897
670	2.703467187
671	2.700782385
672	2.699657859
673	2.697724415
674	2.696023426
675	2.694301941
676	2.692654695
677	2.691444383
678	2.6898092
679	2.688166322
680	2.687000459
681	2.681411376
682	2.679000948
683	2.678678527
684	2.678365555
685	2.67721536
686	2.675443082
687	2.673143658
688	2.672723795
689	2.670671376
690	2.668815005
691	2.667721881
692	2.665323529
693	2.664313469
694	2.662562801
695	2.66097423
696	2.654939832
697	2.652878322
698	2.645384099
699	2.640849562
700	2.639392563
701	2.638911901
702	2.637795429
703	2.636236697
704	2.634383174
705	2.633016964
706	2.631515352
707	2.630142086
708	2.629124886
709	2.628646505
710	2.626874147
711	2.625870554
712	2.623421145
713	2.621905501
714	2.620040866
715	2.618415677
716	2.617090288
717	2.61566482
718	2.61355597
719	2.613062425
720	2.61211619
721	2.610374511
722	2.609474155
723	2.607841505
724	2.605739622
725	2.604099184
726	2.603076184
727	2.602351619
728	2.601084689
729	2.596517492
730	2.595153784
731	2.593104731
732	2.591703511
733	2.590383369
734	2.588833425
735	2.58838803
736	2.587184329
737	2.585546792
738	2.584509254
739	2.583610303
740	2.582838419
741	2.58180793
742	2.576741739
743	2.575113113
744	2.574101577
745	2.572592934
746	2.572237331
747	2.570684907
748	2.565476042
749	2.564199614
750	2.563497596
751	2.559338425
752	2.557697374
753	2.556393484
754	2.555490419
755	2.55291922
756	2.550701731
757	2.549558249
758	2.547782254
759	2.547746695
760	2.546523277
761	2.544804709
762	2.543904403
763	2.54321292
764	2.539516805
765	2.538030101
766	2.535277741
767	2.533684545
768	2.53226409
769	2.530714831
770	2.530287569
771	2.528195443
772	2.525955708
773	2.524284942
774	2.522913881
775	2.521187265
776	2.519127073
777	2.515760827
778	2.513801436
779	2.511643144
780	2.510424339
781	2.509977489
782	2.509072005
783	2.507406708
784	2.498382787
785	2.496760337
786	2.495465881
787	2.49459876
788	2.492996675
789	2.490021432
790	2.488631266
791	2.487576072
792	2.486564908
793	2.485428062
794	2.482872215
795	2.481315578
796	2.479677065
797	2.478662791
798	2.477583405
799	2.475739187
800	2.474616152
801	2.473653987
802	2.472169769
803	2.470926877
804	2.470559734
805	2.468803857
806	2.46691588
807	2.464476383
808	2.464120299
809	2.462890743
810	2.461476246
811	2.459776484
812	2.458489295
813	2.454905275
814	2.454207268
815	2.453811409
816	2.452917621
817	2.449766007
818	2.448714196
819	2.447351928
820	2.446327177
821	2.444442724
822	2.442667987
823	2.441346203
824	2.439916559
825	2.437363851
826	2.436214458
827	2.434495544
828	2.433637276
829	2.43258675
830	2.431423383
831	2.429828416
832	2.428291039
833	2.42654302
834	2.42349472
835	2.422244226
836	2.42011055
837	2.418122071
838	2.416664835
839	2.413186583
840	2.41164493
841	2.410273633
842	2.409219377
843	2.407601373
844	2.407279343
845	2.405672686
846	2.404186842
847	2.402617337
848	2.401882682
849	2.400783329
850	2.400484122
851	2.396056821
852	2.394608479
853	2.393981268
854	2.393702434
855	2.391980673
856	2.39102103
857	2.390790604
858	2.389699486
859	2.388699107
860	2.387946723
861	2.386367683
862	2.384761144
863	2.384360737
864	2.382929184
865	2.380793091
866	2.379772669
867	2.378672703
868	2.377537196
869	2.37604562
870	2.375167557
871	2.375047227
872	2.3738754
873	2.371874614
874	2.370980599
875	2.369530447
876	2.368226791
877	2.366546118
878	2.365019422
879	2.364425485
880	2.363700724
881	2.362444063
882	2.357218888
883	2.35627062
884	2.355650556
885	2.354384792
886	2.352913614
887	2.349857054
888	2.349612295
889	2.34861894
890	2.346986907
891	2.345270876
892	2.344375417
893	2.343321099
894	2.343033888
895	2.342311746
896	2.341934487
897	2.341133298
898	2.339611048
899	2.338641652
900	2.337157411
901	2.336389285
902	2.334746411
903	2.333123974
904	2.332106976
905	2.330737111
906	2.330461237
907	2.329660394
908	2.329102569
909	2.328309791
910	2.326933651
911	2.32532254
912	2.32454898
913	2.324338696
914	2.323588495
915	2.322755349
916	2.319819183
917	2.318223994
918	2.315137256
919	2.314574917
920	2.313234473
921	2.311907921
922	2.310938588
923	2.310146808
924	2.307306938
925	2.306568893
926	2.305337511
927	2.303189231
928	2.302080671
929	2.301775461
930	2.300681462
931	2.300479537
932	2.299965155
933	2.299259548
934	2.298305514
935	2.297509677
936	2.29604891
937	2.29366974
938	2.293183773
939	2.291793316
940	2.290425135
941	2.289705639
942	2.288451982
943	2.287074368
944	2.286497828
945	2.284569907
946	2.283008491
947	2.273559531
948	2.272531846
949	2.27173531
950	2.268706241
951	2.266275689
952	2.262950419
953	2.2622363
954	2.261004097
955	2.259602853
956	2.259153641
957	2.258304497
958	2.256949937
959	2.256060291
960	2.255316301
961	2.254738922
962	2.253281726
963	2.249849386
964	2.248383813
965	2.247526861
966	2.246502827
967	2.245684009
968	2.241054227
969	2.240503002
970	2.239281684
971	2.237990608
972	2.233079936
973	2.232666227
974	2.231523722
975	2.230155949
976	2.228752767
977	2.228697766
978	2.228463346
979	2.227221878
980	2.225733186
981	2.224510099
982	2.222766421
983	2.221491576
984	2.220433684
985	2.22015813
986	2.219772125
987	2.218463586
988	2.217714525
989	2.216702944
990	2.215795302
991	2.215332476
992	2.212801456
993	2.212582756
994	2.211735395
995	2.211299502
996	2.210785843
997	2.210146576
998	2.208584319
999	2.206030622
